School district, Attendance rates mean 2020-2021
Regional School District 15 , 0.9714285714285714
Regional School District 16 , 0.9624999999999999
Regional School District 17 , 0.958
Regional School District 18 , 0.9650000000000001
Regional School District 19 , 0.97
Capitol Region Education Council , 0.8963157894736843
EdAdvance , 0.62
Cooperative Educational Services , 0.8879999999999999
Area Cooperative Educational Services , 0.77
Learn , 0.8799999999999999
Eastern Connecticut Regional Educational Service Center (EASTCONN) , 0.7999999999999999
Jumoke Academy District , 0.94
Odyssey Community School District , 0.96
Integrated Day Charter School District , 0.95
Interdistrict School for Arts and Comm District , 0.96
Common Ground High School District , 0.78
The Bridge Academy District , 0.93
Side By Side Charter School District , 0.94
Explorations District , 0.85
Amistad Academy District , 0.94
New Beginnings Inc Family Academy District , 0.8
Park City Prep Charter School District , 0.92
Achievement First Bridgeport Academy District , 0.94
Highville Charter School District , 0.95
Achievement First Hartford Academy District , 0.9
Elm City College Preparatory School District , 0.94
Brass City Charter School District , 0.92
Elm City Montessori School District , 0.93
Great Oaks Charter School District , 0.96
Booker T. Washington Academy District , 0.86
Stamford Charter School for Excellence District , 0.97
Capital Preparatory Harbor School District , 0.94
Unified School District #1 , 0.96
Connecticut Technical Education and Career System , 0.9299999999999998
Norwich Free Academy District , 0.89
The Gilbert School District , 0.94
The Woodstock Academy District , 0.96
